,invoice_no,category,item,quantity,price,location_id,customer_id,invoice_date,payment_id,date_key,day_of_week,month,year,quarter,is_holiday,first_name,last_name,gender,age,dob,email,phone_number,is_churned,days_since_last_purchase,tenure,discount_used,last_purchase_date,purchase_frequency,avg_purchase_value,shopping_mall,city,province_state,country,payment_method,card_type,Unnamed: 3
3161,103161,Skin Care,Sunscreen,2,49.06,44,572,2022-07-16,8,2022-07-16,Saturday,July,2022,2022Q3,1,Erin,Smith,Other,62.0,1962-08-16,carolyn39@jones.com,751.663.8991,0.0,1472.0,10.0,1.0,2021-06-22,42.0,429.74,The Florida Mall,Orlando,Florida,US,BNPL (Buy Now, Pay Later),
3162,103162,Skin Care,Sunscreen,3,45.05,20,423,2022-01-05,10,2022-01-05,Wednesday,January,2022,2022Q1,0,Jeffrey,Walker,Female,24.0,2000-07-09,sbishop@gmail.com,758-829-1040x70156,1.0,568.0,9.0,0.0,2024-02-13,1.0,375.2,The Trafford Centre,Manchester,Greater Manchester,UK,Google Pay,,
3163,103163,Body Care and Hygiene,Hand Sanitizer,2,29.23,12,492,2023-04-13,8,2023-04-13,Thursday,April,2023,2023Q2,0,Susan,Richardson,Male,34.0,1990-04-29,lauramorales@gmail.com,370-267-3360,1.0,1293.0,1.0,0.0,2021-11-07,9.0,234.07,Metrocentre,Gateshead,Tyne and Wear,UK,BNPL (Buy Now, Pay Later),
3164,103164,Skin Care,Lip Balm,3,15.59,47,545,2020-09-26,9,2020-09-26,Saturday,September,2020,2020Q3,1,Wesley,Williams,Other,31.0,1993-08-08,halvarez@yahoo.com,378-574-6947x65058,1.0,307.0,8.0,0.0,2020-05-17,34.0,392.46,The Americana at Brand,Glendale,California,US,Apple Pay,,
3165,103165,Body Care and Hygiene,Body Lotion,2,18.64,34,791,2022-04-07,6,2022-04-07,Thursday,April,2022,2022Q2,0,Patrick,Ingram,Female,27.0,1997-06-16,jeffersondawn@yahoo.com,335-378-3925x9838,1.0,1226.0,2.0,1.0,2020-01-23,5.0,280.29,The Shops at Columbus Circle,New York,New York,US,PayPal,,
3166,103166,Body Care and Hygiene,Hand Sanitizer,1,7.49,23,501,2021-10-11,7,2021-10-11,Monday,October,2021,2021Q4,0,Morgan,Rodriguez,Male,70.0,1954-07-28,joshualong@yahoo.com,(236)567-2427,1.0,1255.0,9.0,1.0,2021-03-15,7.0,97.06,Palisades Center,West Nyack,New York,US,Cash,,
3167,103167,Body Care and Hygiene,Body Lotion,3,6.1,40,227,2021-11-26,2,2021-11-26,Friday,November,2021,2021Q4,0,James,Wright,Other,56.0,1969-02-05,rodriguezallison@walker-bautista.com,+1-749-247-2936,1.0,204.0,5.0,1.0,2021-09-27,24.0,282.17,Perimeter Mall,Atlanta,Georgia,US,Credit Card - MasterCard,MasterCard,
3168,103168,Body Care and Hygiene,Hand Sanitizer,3,23.98,31,325,2022-04-03,7,2022-04-03,Sunday,April,2022,2022Q2,1,Jean,Clark,Other,34.0,1990-11-17,uhumphrey@johnson-randall.biz,001-280-983-9611x5424,1.0,1306.0,9.0,0.0,2024-07-30,24.0,225.69,Cherry Creek Shopping Center,Denver,Colorado,US,Cash,,
3169,103169,Body Care and Hygiene,Deodorant,1,26.43,46,196,2024-08-14,4,2024-08-14,Wednesday,August,2024,2024Q3,0,Jeff,Owens,Other,33.0,1991-11-08,hwright@gmail.com,126-579-4618x787,0.0,904.0,7.0,1.0,2022-08-15,8.0,60.28,Park Meadows,Lone Tree,Colorado,US,Debit Card - Visa,Visa,
3170,103170,Oral Care,Mouthwash,4,2.7,39,61,2021-12-22,9,2021-12-22,Wednesday,December,2021,2021Q4,0,Julie,Henderson,Male,26.0,1999-02-01,mmorales@gmail.com,+1-381-215-8859x250,1.0,864.0,5.0,1.0,2022-08-10,4.0,56.66,Scottsdale Fashion Square,Scottsdale,Arizona,US,Apple Pay,,
3171,103171,Hair Care,Conditioner,3,12.35,39,760,2021-01-29,8,2021-01-29,Friday,January,2021,2021Q1,0,Emily,Gonzalez,Other,56.0,1968-09-15,guyhardy@gmail.com,(129)513-9686,1.0,918.0,3.0,1.0,2023-09-23,13.0,268.5,Scottsdale Fashion Square,Scottsdale,Arizona,US,BNPL (Buy Now, Pay Later),
3172,103172,Oral Care,Mouthwash,4,12.3,36,120,2023-01-02,3,2023-01-02,Monday,January,2023,2023Q1,0,Dylan,Phillips,Female,64.0,1960-11-09,craig88@yahoo.com,+1-686-517-3019x69882,1.0,374.0,9.0,0.0,2022-10-08,41.0,263.66,The Mall at Short Hills,Short Hills,New Jersey,US,Credit Card - AMEX,AMEX,
3173,103173,Skin Care,Sunscreen,3,83.37,31,959,2021-09-26,1,2021-09-26,Sunday,September,2021,2021Q3,1,Colin,Ford,Other,63.0,1961-06-04,lhall@smith-weiss.com,857.681.8181,1.0,1061.0,1.0,0.0,2022-10-05,21.0,353.96,Cherry Creek Shopping Center,Denver,Colorado,US,Credit Card - Visa,Visa,
3174,103174,Skin Care,Lip Balm,1,75.07,58,267,2022-10-29,5,2022-10-29,Saturday,October,2022,2022Q4,1,James,Phelps,Other,46.0,1978-12-04,urussell@yahoo.com,805-271-3695,0.0,114.0,5.0,0.0,2020-01-01,17.0,460.49,Town Center at Boca Raton,Boca Raton,Florida,US,Debit Card - MasterCard,MasterCard,
3175,103175,Body Care and Hygiene,Hand Sanitizer,2,12.27,34,114,2021-08-30,8,2021-08-30,Monday,August,2021,2021Q3,0,Jessica,Allison,Other,50.0,1974-10-30,dcain@hotmail.com,553-591-1862x4896,1.0,794.0,10.0,0.0,2021-02-22,43.0,442.33,The Shops at Columbus Circle,New York,New York,US,BNPL (Buy Now, Pay Later),
3176,103176,Body Care and Hygiene,Body Lotion,1,23.61,34,118,2020-02-08,7,2020-02-08,Saturday,February,2020,2020Q1,1,David,Liu,Other,38.0,1986-05-18,obriendaniel@powell-mcbride.com,342-705-3578,0.0,1775.0,6.0,1.0,2020-11-29,46.0,347.45,The Shops at Columbus Circle,New York,New York,US,Cash,,
3177,103177,Body Care and Hygiene,Deodorant,3,6.37,22,42,2024-10-21,5,2024-10-21,Monday,October,2024,2024Q4,0,Brandi,Cross,Male,26.0,1998-09-08,hansonlisa@thomas-jarvis.org,656.444.5903x0109,1.0,1496.0,5.0,0.0,2023-07-16,26.0,412.11,Tysons Corner Center,McLean,Virginia,US,Debit Card - MasterCard,MasterCard,
3178,103178,Hair Care,Conditioner,1,10.21,33,953,2023-02-01,6,2023-02-01,Wednesday,February,2023,2023Q1,0,Daniel,Stout,Male,63.0,1961-07-05,wwood@shelton.com,421-603-8484,0.0,631.0,10.0,1.0,2023-07-28,22.0,186.78,Bellevue Square,Bellevue,Washington,US,PayPal,,
3179,103179,Body Care and Hygiene,Body Lotion,4,6.39,53,882,2024-03-05,9,2024-03-05,Tuesday,March,2024,2024Q1,0,Anne,Murphy,Male,23.0,2001-07-17,reneecameron@hotmail.com,+1-115-012-1971x42070,1.0,825.0,3.0,0.0,2023-01-11,15.0,37.14,SouthPark,Charlotte,North Carolina,US,Apple Pay,,
3180,103180,Skin Care,Moisturizer,4,62.72,21,639,2024-03-02,3,2024-03-02,Saturday,March,2024,2024Q1,1,Andrew,Estrada,Other,58.0,1966-07-01,robert31@yahoo.com,(065)822-0734x90139,0.0,190.0,1.0,1.0,2020-10-20,37.0,95.1,Fashion Show Mall,Las Vegas,Nevada,US,Credit Card - AMEX,AMEX,
3181,103181,Body Care and Hygiene,Deodorant,4,22.48,2,425,2020-11-01,8,2020-11-01,Sunday,November,2020,2020Q4,1,Joshua,Smith,Other,18.0,2006-03-20,kelleyalex@rodriguez.com,431.457.7370x940,1.0,365.0,8.0,1.0,2024-03-14,41.0,458.04,The Galleria,Houston,Texas,US,BNPL (Buy Now, Pay Later),
3182,103182,Body Care and Hygiene,Deodorant,4,22.35,55,611,2025-01-23,1,2025-01-23,Thursday,January,2025,2025Q1,0,Ellen,Franco,Other,55.0,1969-10-31,campbelldeborah@hotmail.com,014.728.0598,0.0,1338.0,9.0,1.0,2022-02-19,10.0,339.0,The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US,Credit Card - Visa,Visa,
3183,103183,Skin Care,Face Wash,3,17.51,18,776,2020-11-14,9,2020-11-14,Saturday,November,2020,2020Q4,1,Michael,Griffin,Other,18.0,2007-01-04,peterramos@hotmail.com,8838381495,1.0,1705.0,10.0,1.0,2020-12-18,3.0,33.31,Arndale Centre,Manchester,Greater Manchester,UK,Apple Pay,,
3184,103184,Hair Care,Hair Oil,1,42.63,37,521,2022-11-02,4,2022-11-02,Wednesday,November,2022,2022Q4,0,Danny,Lamb,Female,41.0,1983-12-07,theresaweiss@hotmail.com,(426)531-2241,0.0,369.0,6.0,0.0,2023-03-03,5.0,427.43,Bloor-Yorkville,Toronto,Ontario,Canada,Debit Card - Visa,Visa,
3185,103185,Skin Care,Sunscreen,2,60.89,17,52,2022-04-17,10,2022-04-17,Sunday,April,2022,2022Q2,1,Robert,Allen,Male,44.0,1981-01-31,brios@gmail.com,612.325.6473x96931,0.0,1199.0,10.0,0.0,2024-12-10,8.0,186.13,Lakeside Shopping Centre,Thurrock,Essex,UK,Google Pay,,
3186,103186,Skin Care,Lip Balm,2,88.28,51,87,2024-07-20,4,2024-07-20,Saturday,July,2024,2024Q3,1,Christopher,Bell,Male,60.0,1964-09-17,avilakathryn@gmail.com,916-861-2602,1.0,1393.0,6.0,1.0,2023-12-09,31.0,208.13,CambridgeSide,Cambridge,Massachusetts,US,Debit Card - Visa,Visa,
3187,103187,Skin Care,Lip Balm,2,95.99,41,800,2022-04-07,8,2022-04-07,Thursday,April,2022,2022Q2,0,Andrew,Bird,Male,29.0,1996-01-17,anthony35@hotmail.com,+1-097-397-5746x29328,0.0,667.0,5.0,0.0,2023-04-04,28.0,280.08,Stanford Shopping Center,Palo Alto,California,US,BNPL (Buy Now, Pay Later),
3188,103188,Body Care and Hygiene,Hand Sanitizer,4,7.65,5,404,2020-04-15,5,2020-04-15,Wednesday,April,2020,2020Q2,0,David,Avila,Other,70.0,1955-01-23,deanpennington@gmail.com,(593)405-1930x43903,0.0,617.0,4.0,1.0,2024-07-06,45.0,18.07,King of Prussia Mall,Philadelphia,Pennsylvania,US,Debit Card - MasterCard,MasterCard,
3189,103189,Body Care and Hygiene,Body Lotion,3,8.05,45,376,2020-09-27,5,2020-09-27,Sunday,September,2020,2020Q3,1,Lisa,Clay,Female,69.0,1955-05-06,scottgilmore@tanner.com,287.728.0925x00157,0.0,1644.0,8.0,0.0,2023-08-28,28.0,464.84,Westfield Annapolis,Annapolis,Maryland,US,Debit Card - MasterCard,MasterCard,
3190,103190,Body Care and Hygiene,Deodorant,3,24.35,35,887,2021-02-04,7,2021-02-04,Thursday,February,2021,2021Q1,0,Jeremy,White,Male,70.0,1954-06-02,donnagibson@williams.com,309-558-2972,1.0,1075.0,4.0,0.0,2021-11-26,10.0,78.52,Bayshore Shopping Centre,Ottawa,Ontario,Canada,Cash,,
3191,103191,Hair Care,Conditioner,3,18.19,39,338,2023-05-02,8,2023-05-02,Tuesday,May,2023,2023Q2,0,Krystal,Travis,Female,29.0,1995-08-11,trobbins@medina.com,076-760-4717,0.0,656.0,5.0,1.0,2022-07-19,11.0,240.68,Scottsdale Fashion Square,Scottsdale,Arizona,US,BNPL (Buy Now, Pay Later),
3192,103192,Skin Care,Face Wash,3,81.94,39,846,2023-01-22,1,2023-01-22,Sunday,January,2023,2023Q1,1,Tina,Schmidt,Male,64.0,1960-06-02,eweeks@smith.com,314-937-8140x4324,0.0,623.0,5.0,0.0,2024-12-04,18.0,340.84,Scottsdale Fashion Square,Scottsdale,Arizona,US,Credit Card - Visa,Visa,
3193,103193,Hair Care,Conditioner,2,42.65,45,973,2020-02-29,4,2020-02-29,Saturday,February,2020,2020Q1,1,Beverly,Wallace,Male,70.0,1954-10-18,clinemaria@chavez.biz,102.493.4068x0785,0.0,537.0,1.0,1.0,2024-03-25,5.0,485.93,Westfield Annapolis,Annapolis,Maryland,US,Debit Card - Visa,Visa,
3194,103194,Skin Care,Sunscreen,1,88.95,30,797,2023-12-16,4,2023-12-16,Saturday,December,2023,2023Q4,1,Evelyn,Schneider,Female,47.0,1977-07-29,charlesobrien@yahoo.com,(811)275-6532x71136,1.0,1123.0,5.0,1.0,2024-05-22,28.0,213.61,Westfield San Francisco Centre,San Francisco,California,US,Debit Card - Visa,Visa,
3195,103195,Skin Care,Lip Balm,2,39.43,45,532,2024-05-12,3,2024-05-12,Sunday,May,2024,2024Q2,1,Gina,Moss,Other,64.0,1960-02-29,bsandoval@haas.info,5051019551,0.0,211.0,9.0,1.0,2021-10-03,20.0,236.71,Westfield Annapolis,Annapolis,Maryland,US,Credit Card - AMEX,AMEX,
3196,103196,Hair Care,Shampoo,2,34.95,29,310,2023-08-16,8,2023-08-16,Wednesday,August,2023,2023Q3,0,Tammy,Vargas,Other,39.0,1986-02-20,madelinecarey@gmail.com,+1-563-680-1531x58727,0.0,116.0,8.0,0.0,2022-09-18,8.0,145.46,The Mall at Millenia,Orlando,Florida,US,BNPL (Buy Now, Pay Later),
3197,103197,Hair Care,Hair Oil,2,6.09,20,897,2020-07-05,9,2020-07-05,Sunday,July,2020,2020Q3,1,Victoria,Kemp,Other,41.0,1983-02-28,michael83@yahoo.com,703-883-7688,0.0,91.0,9.0,1.0,2021-01-28,18.0,304.69,The Trafford Centre,Manchester,Greater Manchester,UK,Apple Pay,,
3198,103198,Hair Care,Shampoo,2,17.41,45,779,2023-06-06,8,2023-06-06,Tuesday,June,2023,2023Q2,0,William,Bird,Male,48.0,1977-01-18,avega@sullivan.info,(484)062-1290x372,1.0,641.0,5.0,0.0,2021-07-17,38.0,340.67,Westfield Annapolis,Annapolis,Maryland,US,BNPL (Buy Now, Pay Later),
3199,103199,Hair Care,Shampoo,4,8.68,54,759,2021-08-13,8,2021-08-13,Friday,August,2021,2021Q3,0,Donald,Petty,Female,34.0,1990-10-14,grobinson@riley.com,861-219-1268,1.0,1102.0,2.0,1.0,2023-02-07,10.0,100.53,Westfield Century City,Los Angeles,California,US,BNPL (Buy Now, Pay Later),
3200,103200,Skin Care,Moisturizer,1,40.84,37,237,2024-07-03,3,2024-07-03,Wednesday,July,2024,2024Q3,0,Ian,Eaton,Other,67.0,1957-11-10,robinmurray@guzman.com,+1-322-560-7050,1.0,1483.0,1.0,0.0,2020-04-01,7.0,143.13,Bloor-Yorkville,Toronto,Ontario,Canada,Credit Card - AMEX,AMEX,
3201,103201,Oral Care,Mouthwash,1,15.57,58,811,2024-05-15,9,2024-05-15,Wednesday,May,2024,2024Q2,0,Bailey,Rowland,Other,31.0,1993-03-25,simpsonjustin@gmail.com,1451200771,0.0,452.0,7.0,0.0,2020-12-10,22.0,379.47,Town Center at Boca Raton,Boca Raton,Florida,US,Apple Pay,,
3202,103202,Hair Care,Hair Oil,4,29.54,52,444,2024-12-29,1,2024-12-29,Sunday,December,2024,2024Q4,1,Steven,Graham,Male,28.0,1996-08-10,vasquezvictoria@rodgers-williams.com,(695)467-9759,0.0,426.0,5.0,1.0,2021-04-23,25.0,398.06,Pheasant Lane Mall,Nashua,New Hampshire,US,Credit Card - Visa,Visa,
3203,103203,Hair Care,Conditioner,4,47.72,44,823,2021-04-06,8,2021-04-06,Tuesday,April,2021,2021Q2,0,Tammy,Hunter,Female,33.0,1991-08-23,hmitchell@gmail.com,860.148.2937x790,1.0,78.0,6.0,0.0,2022-10-25,14.0,62.29,The Florida Mall,Orlando,Florida,US,BNPL (Buy Now, Pay Later),
3204,103204,Hair Care,Conditioner,3,34.53,32,790,2023-04-25,1,2023-04-25,Tuesday,April,2023,2023Q2,0,Mary,Edwards,Other,39.0,1985-10-21,heidisharp@gmail.com,792.944.7444,1.0,1386.0,9.0,1.0,2023-01-29,12.0,276.32,International Plaza and Bay Street,Tampa,Florida,US,Credit Card - Visa,Visa,
3205,103205,Skin Care,Lip Balm,1,52.33,37,278,2020-02-12,10,2020-02-12,Wednesday,February,2020,2020Q1,0,Brian,Foster,Male,51.0,1973-11-04,ncooper@brown.net,(509)258-8441,1.0,1790.0,1.0,1.0,2025-01-11,49.0,411.39,Bloor-Yorkville,Toronto,Ontario,Canada,Google Pay,,
3206,103206,Skin Care,Sunscreen,3,74.94,11,969,2020-10-31,10,2020-10-31,Saturday,October,2020,2020Q4,1,Robert,Skinner,Female,62.0,1962-03-13,paige52@miller.biz,3275017730,0.0,1696.0,8.0,0.0,2022-08-02,47.0,80.45,Roosevelt Field,Garden City,New York,US,Google Pay,,
3207,103207,Hair Care,Hair Oil,4,32.39,19,600,2024-09-17,3,2024-09-17,Tuesday,September,2024,2024Q3,0,Laura,Salinas,Female,27.0,1998-02-14,donna25@vasquez-schultz.org,(688)561-1140,0.0,355.0,8.0,0.0,2023-07-26,20.0,46.51,Yorkdale Shopping Centre,Toronto,Ontario,Canada,Credit Card - AMEX,AMEX,
3208,103208,Body Care and Hygiene,Hand Sanitizer,1,8.66,23,772,2022-12-09,1,2022-12-09,Friday,December,2022,2022Q4,0,Valerie,Chambers,Male,28.0,1997-01-13,wigginsdeborah@hotmail.com,554.012.3953x2442,1.0,1030.0,8.0,0.0,2020-06-06,49.0,116.25,Palisades Center,West Nyack,New York,US,Credit Card - Visa,Visa,
3209,103209,Hair Care,Hair Oil,4,14.95,16,116,2023-03-29,8,2023-03-29,Wednesday,March,2023,2023Q1,0,Dale,Burnett,Male,32.0,1993-01-24,jennifer76@yahoo.com,+1-087-360-4745,0.0,836.0,4.0,1.0,2023-11-13,10.0,417.91,The Oracle,Reading,Berkshire,UK,BNPL (Buy Now, Pay Later),
3210,103210,Skin Care,Moisturizer,3,87.21,41,900,2020-01-26,8,2020-01-26,Sunday,January,2020,2020Q1,1,Michele,Atkinson,Male,57.0,1967-08-22,ssmith@yahoo.com,001-428-358-2552x0159,1.0,1744.0,10.0,1.0,2023-05-21,24.0,323.4,Stanford Shopping Center,Palo Alto,California,US,BNPL (Buy Now, Pay Later),
3211,103211,Hair Care,Conditioner,2,23.99,28,360,2023-11-21,3,2023-11-21,Tuesday,November,2023,2023Q4,0,Jennifer,Richardson,Male,39.0,1985-12-19,hillkelsey@solomon-russell.info,2616968489,1.0,130.0,10.0,1.0,2025-01-21,42.0,350.85,Dolphin Mall,Miami,Florida,US,Credit Card - AMEX,AMEX,
3212,103212,Hair Care,Conditioner,4,43.92,43,294,2022-01-01,10,2022-01-01,Saturday,January,2022,2022Q1,1,Marcus,Cain,Female,28.0,1996-07-12,ytaylor@robinson.com,(024)675-3162x3547,1.0,940.0,6.0,0.0,2024-12-19,37.0,183.56,The Domain,Austin,Texas,US,Google Pay,,
3213,103213,Skin Care,Moisturizer,4,76.21,50,601,2021-01-29,10,2021-01-29,Friday,January,2021,2021Q1,0,Amy,Moore,Male,42.0,1982-08-28,michael13@yahoo.com,052.567.0914,1.0,933.0,2.0,0.0,2021-10-27,6.0,51.44,The Summit,Birmingham,Alabama,US,Google Pay,,
3214,103214,Hair Care,Conditioner,1,30.89,44,111,2023-09-23,4,2023-09-23,Saturday,September,2023,2023Q3,1,Erin,Black,Male,67.0,1957-06-10,zoe17@nelson.com,001-744-786-8281x31940,0.0,533.0,3.0,1.0,2021-04-09,20.0,458.5,The Florida Mall,Orlando,Florida,US,Debit Card - Visa,Visa,
3215,103215,Oral Care,Mouthwash,1,4.26,30,144,2024-06-09,2,2024-06-09,Sunday,June,2024,2024Q2,1,William,Griffin,Other,50.0,1974-04-01,nmorris@hotmail.com,(764)203-8340x7835,0.0,144.0,8.0,1.0,2022-02-21,43.0,409.59,Westfield San Francisco Centre,San Francisco,California,US,Credit Card - MasterCard,MasterCard,
3216,103216,Skin Care,Sunscreen,4,45.66,44,31,2024-10-10,2,2024-10-10,Thursday,October,2024,2024Q4,0,Kim,Turner,Female,70.0,1955-01-24,matthew25@davis.com,+1-140-357-6721,1.0,696.0,2.0,0.0,2023-07-11,42.0,398.29,The Florida Mall,Orlando,Florida,US,Credit Card - MasterCard,MasterCard,
3217,103217,Hair Care,Shampoo,2,17.62,6,236,2022-09-14,3,2022-09-14,Wednesday,September,2022,2022Q3,0,Andrew,Lewis,Other,30.0,1994-07-18,donnalee@ochoa-castro.info,(335)570-5292x7363,1.0,1498.0,4.0,1.0,2024-03-23,35.0,286.12,Aventura Mall,Miami,Florida,US,Credit Card - AMEX,AMEX,
3218,103218,Skin Care,Sunscreen,1,83.72,35,867,2021-04-11,6,2021-04-11,Sunday,April,2021,2021Q2,1,Ryan,Beard,Other,65.0,1959-08-13,shawngibson@fischer-short.com,+1-935-068-3890x554,1.0,1460.0,5.0,0.0,2024-10-23,40.0,446.44,Bayshore Shopping Centre,Ottawa,Ontario,Canada,PayPal,,
3219,103219,Oral Care,Toothpaste,4,4.65,27,352,2021-05-05,2,2021-05-05,Wednesday,May,2021,2021Q2,0,Michael,Mahoney,Other,18.0,2007-02-06,jlee@phillips.com,001-834-277-8855x790,0.0,844.0,10.0,0.0,2025-02-05,5.0,488.23,Oakbrook Center,Oak Brook,Illinois,US,Credit Card - MasterCard,MasterCard,
3220,103220,Hair Care,Shampoo,3,23.68,45,974,2020-03-16,1,2020-03-16,Monday,March,2020,2020Q1,0,Joshua,Hoffman,Other,22.0,2003-01-13,wernerjohn@cook.com,542-359-9876,1.0,1451.0,1.0,1.0,2023-12-10,6.0,156.51,Westfield Annapolis,Annapolis,Maryland,US,Credit Card - Visa,Visa,
3221,103221,Skin Care,Face Wash,3,11.8,11,214,2023-02-05,1,2023-02-05,Sunday,February,2023,2023Q1,1,Cynthia,Lynch,Female,54.0,1971-01-25,mirandabeasley@keith.com,+1-491-049-3219x12767,1.0,84.0,10.0,0.0,2023-04-19,41.0,107.1,Roosevelt Field,Garden City,New York,US,Credit Card - Visa,Visa,
3222,103222,Hair Care,Conditioner,3,40.52,22,172,2023-12-10,7,2023-12-10,Sunday,December,2023,2023Q4,1,Robert,Escobar,Male,30.0,1994-08-19,michele51@hotmail.com,(705)483-2394x802,1.0,254.0,6.0,0.0,2022-01-25,49.0,479.64,Tysons Corner Center,McLean,Virginia,US,Cash,,
3223,103223,Body Care and Hygiene,Body Lotion,3,10.08,55,198,2022-03-15,8,2022-03-15,Tuesday,March,2022,2022Q1,0,David,Hess,Other,25.0,2000-01-16,garrisondaniel@gmail.com,681.307.8452x260,1.0,1214.0,10.0,0.0,2022-01-11,28.0,358.3,The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US,BNPL (Buy Now, Pay Later),
3224,103224,Skin Care,Face Wash,4,48.12,18,440,2022-05-24,5,2022-05-24,Tuesday,May,2022,2022Q2,0,Robert,Vasquez,Male,52.0,1972-05-02,katherineramirez@weaver.com,(433)205-0693,0.0,1749.0,6.0,1.0,2020-05-31,45.0,116.31,Arndale Centre,Manchester,Greater Manchester,UK,Debit Card - MasterCard,MasterCard,
3225,103225,Hair Care,Conditioner,3,47.8,20,746,2020-06-25,4,2020-06-25,Thursday,June,2020,2020Q2,0,Christina,Ingram,Male,20.0,2004-08-02,pennybrown@jones.com,+1-070-472-4700x403,0.0,936.0,2.0,1.0,2021-08-27,14.0,343.1,The Trafford Centre,Manchester,Greater Manchester,UK,Debit Card - Visa,Visa,
3226,103226,Skin Care,Face Wash,1,83.19,20,952,2024-10-10,5,2024-10-10,Thursday,October,2024,2024Q4,0,Nancy,Morgan,Female,46.0,1978-08-02,charlesbarron@edwards.org,835-556-9751,0.0,187.0,10.0,0.0,2020-12-22,9.0,463.77,The Trafford Centre,Manchester,Greater Manchester,UK,Debit Card - MasterCard,MasterCard,
3227,103227,Skin Care,Sunscreen,3,91.87,10,124,2023-03-22,7,2023-03-22,Wednesday,March,2023,2023Q1,0,Edward,Hernandez,Other,30.0,1994-05-28,murrayemily@yahoo.com,449.915.5604,0.0,580.0,10.0,0.0,2023-01-27,31.0,400.09,South Coast Plaza,Costa Mesa,California,US,Cash,,
3228,103228,Hair Care,Hair Oil,2,19.37,45,59,2021-02-15,3,2021-02-15,Monday,February,2021,2021Q1,0,Erika,Werner,Female,56.0,1968-07-22,hodgesharon@gmail.com,666.790.8693,1.0,1029.0,7.0,0.0,2021-04-11,35.0,17.14,Westfield Annapolis,Annapolis,Maryland,US,Credit Card - AMEX,AMEX,
3229,103229,Skin Care,Lip Balm,2,81.68,15,105,2020-01-03,9,2020-01-03,Friday,January,2020,2020Q1,0,Ryan,Hayes,Male,37.0,1987-06-25,hodgesjeffrey@ramos.info,001-601-019-6868x36450,1.0,1181.0,7.0,0.0,2020-12-29,16.0,320.14,Meadowhall,Sheffield,South Yorkshire,UK,Apple Pay,,
3230,103230,Skin Care,Sunscreen,3,14.53,15,218,2022-06-17,1,2022-06-17,Friday,June,2022,2022Q2,0,Arthur,Delgado,Other,64.0,1960-12-27,zjohnson@yahoo.com,800-607-7702x6349,0.0,819.0,2.0,1.0,2022-12-15,48.0,251.91,Meadowhall,Sheffield,South Yorkshire,UK,Credit Card - Visa,Visa,
3231,103231,Hair Care,Shampoo,3,41.75,43,801,2023-08-16,3,2023-08-16,Wednesday,August,2023,2023Q3,0,Steven,Austin,Other,65.0,1960-01-03,reginaldortiz@gmail.com,001-772-791-7530x8097,0.0,326.0,7.0,1.0,2023-01-03,24.0,478.83,The Domain,Austin,Texas,US,Credit Card - AMEX,AMEX,
3232,103232,Skin Care,Moisturizer,2,45.77,17,460,2022-05-18,9,2022-05-18,Wednesday,May,2022,2022Q2,0,Jesse,Hernandez,Other,40.0,1984-10-28,ronaldmclaughlin@hotmail.com,785.465.0728x685,1.0,1754.0,2.0,0.0,2022-07-30,10.0,12.36,Lakeside Shopping Centre,Thurrock,Essex,UK,Apple Pay,,
3233,103233,Skin Care,Sunscreen,3,43.8,32,824,2024-03-04,6,2024-03-04,Monday,March,2024,2024Q1,0,Melissa,Copeland,Male,43.0,1981-03-11,victor08@hotmail.com,+1-894-522-4886x1817,0.0,1072.0,5.0,0.0,2024-09-04,26.0,95.03,International Plaza and Bay Street,Tampa,Florida,US,PayPal,,
3234,103234,Body Care and Hygiene,Deodorant,2,7.19,51,347,2021-10-31,6,2021-10-31,Sunday,October,2021,2021Q4,1,Tyler,Campbell,Female,40.0,1984-06-29,kelsey38@gmail.com,(444)995-8036x173,0.0,611.0,10.0,1.0,2020-11-21,4.0,415.35,CambridgeSide,Cambridge,Massachusetts,US,PayPal,,
3235,103235,Skin Care,Face Wash,1,58.35,34,200,2023-12-28,5,2023-12-28,Thursday,December,2023,2023Q4,0,Bryan,Baxter,Female,36.0,1988-04-19,harold21@rodriguez-reed.com,1523955063,0.0,100.0,8.0,1.0,2021-11-27,27.0,403.01,The Shops at Columbus Circle,New York,New York,US,Debit Card - MasterCard,MasterCard,
3236,103236,Skin Care,Moisturizer,3,88.97,34,374,2024-02-11,4,2024-02-11,Sunday,February,2024,2024Q1,1,Ellen,Davis,Female,59.0,1965-08-15,jonessara@smith.biz,515.034.4217,1.0,1594.0,4.0,0.0,2024-05-21,22.0,18.4,The Shops at Columbus Circle,New York,New York,US,Debit Card - Visa,Visa,
3237,103237,Skin Care,Sunscreen,3,15.31,37,175,2024-10-10,10,2024-10-10,Thursday,October,2024,2024Q4,0,April,Banks,Male,42.0,1982-03-03,smithchristopher@rose-lewis.info,+1-265-475-2088,1.0,1405.0,2.0,1.0,2022-03-20,47.0,6.89,Bloor-Yorkville,Toronto,Ontario,Canada,Google Pay,,
3238,103238,Hair Care,Shampoo,3,25.02,18,870,2024-06-06,3,2024-06-06,Thursday,June,2024,2024Q2,0,Angela,Garcia,Female,37.0,1987-10-26,rbradley@gmail.com,347.389.2017x3827,0.0,1372.0,7.0,1.0,2023-01-15,45.0,35.76,Arndale Centre,Manchester,Greater Manchester,UK,Credit Card - AMEX,AMEX,
